date,Open,High,Low,Close,Volume,seconds
2024-02-24 00:00:00,50911.10000000,50943.69000000,50683.58000000,50695.15000000,1055.55103000,1708704000
2024-02-24 00:15:00,50695.15000000,50877.84000000,50629.33000000,50865.06000000,1017.79548000,1708704900
2024-02-24 00:30:00,50865.07000000,50989.61000000,50794.50000000,50942.02000000,352.47166000,1708705800
2024-02-24 00:45:00,50942.03000000,51121.01000000,50895.03000000,51053.07000000,413.39991000,1708706700
2024-02-24 01:00:00,51053.08000000,51150.00000000,51022.17000000,51086.49000000,321.40745000,1708707600
2024-02-24 01:15:00,51086.49000000,51114.00000000,50974.00000000,51003.99000000,315.91728000,1708708500
2024-02-24 01:30:00,51004.00000000,51172.91000000,51003.99000000,51172.90000000,194.29674000,1708709400
2024-02-24 01:45:00,51172.90000000,51172.91000000,51077.83000000,51139.14000000,209.93952000,1708710300
2024-02-24 02:00:00,51139.13000000,51146.27000000,51000.00000000,51011.09000000,233.49026000,1708711200
2024-02-24 02:15:00,51011.09000000,51172.00000000,51011.09000000,51153.95000000,238.74231000,1708712100
2024-02-24 02:30:00,51153.95000000,51193.69000000,51101.18000000,51161.99000000,166.60435000,1708713000
2024-02-24 02:45:00,51161.99000000,51183.93000000,51082.01000000,51103.76000000,296.92552000,1708713900
2024-02-24 03:00:00,51103.76000000,51105.84000000,51032.88000000,51087.41000000,170.02041000,1708714800
2024-02-24 03:15:00,51087.42000000,51195.18000000,51087.41000000,51134.58000000,135.87781000,1708715700
2024-02-24 03:30:00,51134.58000000,51190.54000000,51101.10000000,51115.42000000,239.89388000,1708716600
2024-02-24 03:45:00,51115.42000000,51169.26000000,51051.10000000,51099.09000000,288.34519000,1708717500
2024-02-24 04:00:00,51099.09000000,51162.04000000,51093.32000000,51161.12000000,258.89406000,1708718400
2024-02-24 04:15:00,51161.12000000,51161.13000000,50982.95000000,51001.95000000,218.29184000,1708719300
2024-02-24 04:30:00,51001.96000000,51073.64000000,50961.10000000,50973.37000000,172.08990000,1708720200
2024-02-24 04:45:00,50973.36000000,51111.10000000,50970.42000000,51079.21000000,267.49115000,1708721100
2024-02-24 05:00:00,51079.20000000,51094.64000000,51026.30000000,51031.08000000,153.43449000,1708722000
2024-02-24 05:15:00,51031.09000000,51054.00000000,51002.49000000,51018.58000000,87.06618000,1708722900
2024-02-24 05:30:00,51018.59000000,51057.14000000,50999.95000000,51057.13000000,74.91236000,1708723800
2024-02-24 05:45:00,51057.13000000,51057.14000000,50986.12000000,50986.12000000,99.82363000,1708724700
2024-02-24 06:00:00,50986.12000000,51025.31000000,50964.84000000,50964.84000000,94.53877000,1708725600
2024-02-24 06:15:00,50964.85000000,50964.85000000,50891.10000000,50956.70000000,165.42547000,1708726500
2024-02-24 06:30:00,50956.69000000,50956.70000000,50816.56000000,50834.71000000,124.95992000,1708727400
2024-02-24 06:45:00,50834.72000000,50834.72000000,50750.00000000,50788.01000000,155.35685000,1708728300
2024-02-24 07:00:00,50788.00000000,50788.01000000,50653.40000000,50653.40000000,254.78659000,1708729200
2024-02-24 07:15:00,50653.40000000,50805.58000000,50521.00000000,50790.65000000,647.99848000,1708730100
2024-02-24 07:30:00,50790.66000000,50866.04000000,50790.65000000,50861.10000000,185.97497000,1708731000
2024-02-24 07:45:00,50861.09000000,50916.66000000,50718.48000000,50744.15000000,214.69640000,1708731900
2024-02-24 08:00:00,50744.15000000,50798.00000000,50694.71000000,50706.01000000,347.36157000,1708732800
2024-02-24 08:15:00,50706.01000000,50848.26000000,50698.66000000,50830.01000000,161.15437000,1708733700
2024-02-24 08:30:00,50830.01000000,50906.16000000,50784.40000000,50876.50000000,235.88269000,1708734600
2024-02-24 08:45:00,50876.49000000,50907.14000000,50841.10000000,50889.20000000,151.28754000,1708735500
2024-02-24 09:00:00,50889.19000000,50891.10000000,50747.05000000,50757.21000000,206.07040000,1708736400
2024-02-24 09:15:00,50757.21000000,50815.99000000,50702.24000000,50702.24000000,156.34807000,1708737300
2024-02-24 09:30:00,50702.24000000,50786.55000000,50650.00000000,50656.79000000,158.81651000,1708738200
2024-02-24 09:45:00,50656.79000000,50698.15000000,50590.00000000,50590.01000000,273.15482000,1708739100
